apply_coercion,bucket_width,check,corr_delta_thresh,corr_window,dataset_version_id,delta_threshold,detail,dtype_after_enforce,encoded_target,feature_groups_csv,feature_groups_json,feature_groups_yaml,feature_space_json,feature_space_yaml,full_row_dupes,git_hash,group_counts_json,has_full_dupes,has_time_column,imbalance_ratio,level,max_cardinality,max_null_pct,max_null_pct_col,max_outlier_pct,n_actual,n_alerts,n_anomalous_buckets,n_applied,n_attempted,n_binary,n_binary_candidates,n_binary_features,n_binary_numeric,n_boolean,n_buckets,n_candidate_ids,n_categorical,n_cols,n_columns,n_columns_checked,n_columns_coerced_ok,n_constant_cols,n_continuous,n_corr_pairs,n_critical,n_datetime,n_excluded_from_model,n_expected,n_failed,n_feature_groups,n_features,n_features_checked,n_flags,n_groups,n_hard_rules,n_high_card_cols,n_high_cv,n_high_outlier_cols,n_id,n_id_columns,n_id_configured,n_id_in_df,n_ids,n_inconsistent_rows,n_invalid_raw,n_invalid_target_vals,n_mismatched,n_missing,n_neg,n_non_01_values,n_non_null,n_non_unique,n_null_raw,n_numeric,n_numeric_checked,n_numeric_cols,n_numeric_with_rules,n_ok,n_pairs_anomalous,n_pairs_checked,n_perf_critical,n_perf_warn,n_pos,n_preview_cols,n_preview_rows,n_protected,n_protected_columns,n_renamed_pairs,n_required,n_rows,n_rules,n_sections,n_soft_rules,n_target,n_time_buckets,n_time_outliers,n_unassigned,n_unexpected,n_valid_ok,n_warn,n_zero_inflated,overall_null_pct,pct_invalid_raw,pseudo_time_col,raw_target_col,raw_target_column,section,section_name,source_catalog_csv,status,target_column,temporal_enabled,time_bucket,time_column,timestamp,top_missing_col,top_missing_pct,total_mem_mb,total_runtime_sec,window_size,z_threshold
,,Bucketed temporal outliers per numeric feature,,,,,Skipped: dataset does not support real temporal diagnostics.,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3.7.1,Time-series outliers,,SKIP,,,,,2025-12-11 19:28:30.484460+00:00,,,,,,
,,Determine whether dataset supports real temporal diagnostics,,,,,"No usable TIME_COLUMN found (CONFIG.TEMPORAL.TIME_COLUMN is missing or not present in df, and no auto-detect candidate).",,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.3.7.0,Temporal capability detector,,OK,,0.0,M,,2025-12-11 19:28:30.511542+00:00,,,,,,
,,Mini monitoring: bucketed stats + correlation drift,,,,,"Skipped: No usable TIME_COLUMN found (CONFIG.TEMPORAL.TIME_COLUMN is missing or not present in df, and no auto-detect candidate).",,,,,,,,,,,,,,info,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.3.7,Temporal & correlation diagnostics,,SKIP,,,M,,2025-12-11 19:31:15.885014+00:00,,,,,,
,,Mini monitoring: bucketed stats + correlation drift,,,,,"Skipped: No usable TIME_COLUMN found (CONFIG.TEMPORAL.TIME_COLUMN is missing or not present in df, and no auto-detect candidate).",,,,,,,,,,,,,,info,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.3.7,Temporal & correlation diagnostics,,SKIP,,,M,,2025-12-11 19:47:19.310918+00:00,,,,,,
,,Mini monitoring: bucketed stats + correlation drift,,,,,"Skipped: No usable TIME_COLUMN found (CONFIG.TEMPORAL.TIME_COLUMN is missing or not present in df, and no auto-detect candidate).",,,,,,,,,,,,,,info,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.3.7,Temporal & correlation diagnostics,,SKIP,,,M,,2025-12-11 19:47:47.809503+00:00,,,,,,
,,Determine whether dataset supports real temporal diagnostics,,,,,"No usable TIME_COLUMN found (CONFIG.TEMPORAL.TIME_COLUMN is missing or not present in df, and no auto-detect candidate).",,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.3.7.0,Temporal capability detector,,OK,,1.0,M,,2025-12-11 19:51:56.939075+00:00,,,,,,
,,Mini monitoring: bucketed stats + correlation drift,0.3,3.0,,,Temporal drift → temporal_drift_*.csv; correlation drift → corr_drift_*.csv,,,,,,,,,,,,1.0,,info,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.3.7,Temporal & correlation diagnostics,,OK,,,M,,2025-12-11 19:51:59.647355+00:00,,,,,,3.0
,,Determine whether dataset supports real temporal diagnostics,,,,,"No usable TIME_COLUMN found (CONFIG.TEMPORAL.TIME_COLUMN is missing or not present in df, and no auto-detect candidate).",,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.3.7.0,Temporal capability detector,,OK,,0.0,M,,2025-12-11 19:52:29.635062+00:00,,,,,,
,,Determine whether dataset supports real temporal diagnostics,,,,,"No usable TIME_COLUMN found (CONFIG.TEMPORAL.TIME_COLUMN is missing or not present in df, and no auto-detect candidate).",,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.3.7.0,Temporal capability detector,,OK,,1.0,M,,2025-12-11 19:52:35.369044+00:00,,,,,,
,,Determine whether dataset supports real temporal diagnostics,,,,,"No usable TIME_COLUMN found (CONFIG.TEMPORAL.TIME_COLUMN is missing or not present in df, and no auto-detect candidate).",,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.3.7.0,Temporal capability detector,,OK,,0.0,M,,2025-12-11 19:55:48.759208+00:00,,,,,,
,,Determine whether dataset supports real temporal diagnostics,,,,,"No usable TIME_COLUMN found (CONFIG.TEMPORAL.TIME_COLUMN is missing or not present in df, and no auto-detect candidate).",,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.3.7.0,Temporal capability detector,,OK,,0.0,M,,2025-12-11 20:13:35.019156+00:00,,,,,,
,,Mini monitoring: bucketed stats + correlation drift,,,,,"Skipped: No usable TIME_COLUMN found (CONFIG.TEMPORAL.TIME_COLUMN is missing or not present in df, and no auto-detect candidate).",,,,,,,,,,,,,,info,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.3.7,Temporal & correlation diagnostics,,SKIP,,,M,,2025-12-11 20:13:45.111800+00:00,,,,,,
,,Bucketed temporal outliers per numeric feature,,,,,Skipped: dataset does not support real temporal diagnostics.,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.3.7.1,Time-series outliers,,SKIP,,,M,,2025-12-11 20:14:00.600167+00:00,,,,,,
,,Runtime & resource usage across Section 2 checks,,,,,performance_profile.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,62.0,,,,,,,,,,,,,,,2.3.15,Cost & performance profiling (Section 2),,OK,,,,,2025-12-11 20:15:43.617754+00:00,,,,0.0,,
,12.0,Simulate temporal behavior using tenure-like buckets,,,,,Pseudo-temporal profile → pseudo_temporal_profile.csv,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tenure,,,2.3.8,Pseudo-temporal profile (tenure buckets),,OK,,,,,2025-12-11 20:29:10.155271+00:00,,,,,,
