apply_coercion,avg_readiness,check,contracts_hard_fail,corr_delta_thresh,corr_window,dataset_version_id,delta_threshold,detail,drift_high_count,dtype_after_enforce,encoded_target,feature_groups_csv,feature_groups_json,feature_groups_yaml,feature_space_json,feature_space_yaml,full_row_dupes,git_hash,group_counts_json,has_config_hash,has_data_snapshot_id,has_full_dupes,has_time_column,imbalance_ratio,integrity_index,level,max_cardinality,max_null_pct,max_null_pct_col,max_outlier_pct,max_psi,max_score_observed,n_actual,n_alerts,n_anomalies,n_anomalous_buckets,n_anomaly_rows,n_applied,n_artifacts_exist,n_artifacts_total,n_attempted,n_binary,n_binary_candidates,n_binary_features,n_binary_numeric,n_boolean,n_buckets,n_candidate_ids,n_categorical,n_cols,n_columns,n_columns_checked,n_columns_coerced_ok,n_columns_profiled,n_columns_scanned,n_columns_with_anomalies,n_columns_with_domains,n_columns_with_drift,n_columns_with_hygiene_issues,n_columns_with_invalid_tokens,n_columns_with_rare_categories,n_columns_with_unexpected_values,n_constant_cols,n_continuous,n_contracts,n_contracts_fail_hard,n_contracts_warn_soft,n_corr_pairs,n_critical,n_critical_alerts,n_critical_features,n_critical_issue_types,n_critical_token_columns,n_datetime,n_distinct_issue_pairs,n_dominant_domains,n_drift_high,n_drift_medium,n_edges,n_excluded_from_model,n_expected,n_failed,n_feature_groups,n_features,n_features_checked,n_features_monitored,n_features_simulated,n_fk_with_unmatched,n_flags,n_foreign_keys,n_fragmented_domains,n_groups,n_groups_configured,n_groups_evaluated,n_groups_valid_config,n_groups_with_violations,n_hard_rules,n_high_bias_risk,n_high_card_cols,n_high_cardinality_columns,n_high_cv,n_high_drift_columns,n_high_outlier_cols,n_id,n_id_columns,n_id_configured,n_id_in_df,n_ids,n_inconsistent_rows,n_intervals_checked,n_intervals_with_violations,n_invalid_raw,n_invalid_target_vals,n_issue_files,n_keys_with_duplicates,n_keys_with_nulls,n_low_entropy,n_low_readiness,n_mismatched,n_missing,n_near_constant,n_neg,n_nodes,n_non_01_values,n_non_null,n_non_unique,n_null_raw,n_numeric,n_numeric_checked,n_numeric_cols,n_numeric_with_rules,n_ok,n_pairs_anomalous,n_pairs_checked,n_pairs_involving_model_features,n_pairs_total,n_panels_rendered,n_perf_critical,n_perf_warn,n_pos,n_preview_cols,n_preview_rows,n_primary_keys,n_protected,n_protected_columns,n_quasi_identifier_columns,n_rare_values_total,n_ratio_rules,n_red,n_redundant_pairs,n_renamed_pairs,n_required,n_rows,n_rows_raw,n_rows_scored,n_rules,n_rules_configured,n_rules_covered,n_rules_evaluated,n_rules_failing_reconciliation,n_rules_missing_columns,n_rules_no_valid_rows,n_rules_with_anomalies,n_rules_with_violations,n_schemes_exceeding_max_dim,n_sections,n_sections_2_5,n_sections_fail,n_soft_rules,n_sources_configured,n_sources_nonempty,n_sources_with_file,n_status_fail,n_status_ok,n_status_warn,n_strong_pairs,n_strong_target_pairs,n_target,n_time_buckets,n_time_outliers,n_unassigned,n_unexpected,n_unexpected_values_total,n_valid_ok,n_warn,n_yellow,n_zero_inflated,overall_contract_status,overall_null_pct,pct_invalid_raw,raw_target_col,raw_target_column,section,section_name,source_catalog_csv,status,target_column,time_bucket,time_column,timestamp,top_missing_col,top_missing_pct,total_mem_mb,total_runtime_sec,window_size,z_threshold
,,Config-driven IDs and protected columns snapshot,,,,,,Protected columns snapshot written to protected_columns_2_0_6.yaml / protected_columns_2_0_6.json,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.6,ID & protected columns snapshot,,OK,,,,2025-12-10 15:19:40.433560,,,,,,
,,Dependency registry build,,,,,,Registered Section 2 nodes and metrics into section2_registry.json and archived a per-run snapshot under history/section2_registry/.,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.7,Dependency registry build,,OK,,,,2025-12-10 15:19:40.639726,,,,,,
,,Sanity preview printout,,,,,,Printed Section 2 execution map and wrote section2_execution_map.md for documentation.,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.8,Sanity preview printout,,OK,,,,2025-12-10 15:19:40.713166,,,,,,
,,Sanity preview printout,,,,,,Printed Section 2 execution map and wrote section2_execution_map.md for documentation.,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.8,Sanity preview printout,,OK,,,,2025-12-10 15:19:40.779219,,,,,,
,,Create Churn_flag and validate raw target labels,,,,,,"Target 'Churn' normalized to 'Churn_flag' with 0 invalid labels; integrity report: target_integrity_report.csv, summary: churn_flag_summary.csv",,,Churn_flag,,,,,,,,,,,,,0.3612,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,5174.0,,,,,0.0,,,,,,,,,,,,,1869.0,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Churn,,2.1.1,Target variable creation & validation,,OK,,,,2025-12-10 15:19:40.913362,,,,,,
,,ID & key field verification,,,,,,ID integrity report written to id_integrity_report.csv; 0 non-unique or invalid ID columns.,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.2,ID & key field verification,,OK,,,,2025-12-10 15:19:41.011619,,,,,,
,,Special-case numeric flags,,,,,,Detected 1 special numeric flag column(s); written to special_numeric_flags.csv.,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.3,Special-case numeric flag registration,,OK,,,,2025-12-10 15:19:41.087391,,,,,,
,,Duplicate audit,,,,,,Duplicate audit written to duplicate_audit_report.csv; 0 full-row duplicates detected.,,,,,,,,,0.0,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.4,Duplicate & record-level consistency audit,,OK,,,,2025-12-10 15:19:41.175400,,,,,,
,,Duplicate audit preview,,,,,,Duplicate preview sample written to 2.1.4_duplicate_audit_sample.csv with 0 rows.,,,,,,,,,,,,,,0.0,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.4.5.5,Duplicate audit preview & sample export,,OK,,,,2025-12-10 15:19:41.246722,,,,,,
,,Feature group catalog (column-level),,,,,,Feature groups registered for 22 column(s); catalog written to feature_groups_2_1_5.csv.,,,,feature_groups_2_1_5.csv,feature_groups_2_1_5.json,feature_groups_2_1_5.yaml,,,,,"{""categorical_low_card"": 15, ""id"": 1, ""numeric_continuous"": 3, ""numeric_flag"": 1, ""target"": 1, ""target_aux"": 1}",,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.1.5,Feature group registration,,OK,,,,2025-12-10 15:19:41.428813,,,,,,
,,Feature space config (groups → columns),,,,,,"Feature space scaffolding built from feature_groups_2_1_5.csv; JSON: feature_space_2_1_6.json, YAML: feature_space_2_1_6.yaml.",,,,,,,feature_space_2_1_6.json,feature_space_2_1_6.yaml,,,"{""categorical_low_card"": 15, ""id"": 1, ""numeric_continuous"": 3, ""numeric_flag"": 1, ""target"": 1, ""target_aux"": 1}",,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.6,Feature space scaffolding,feature_groups_2_1_5.csv,OK,,,,2025-12-10 15:19:41.491333,,,,,,
,,Schema-driven dtype alignment (read-only),,,,,,Baseline: dtype_baseline_report.csv; Enforcement: dtype_enforcement_report.csv,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.7A,Column-type alignment audit (no coercion),,WARN,,,,2025-12-10 15:19:41.553547,,,,,,
,,Apply SCHEMA_EXPECTED_DTYPES to df (mutable),,,,,,Coercion skipped or no applicable columns.,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.7.5,Optional dtype coercion apply phase,,SKIP,,,,2025-12-10 15:19:41.647460,,,,,,
,,Compare df columns to EXPECTED_SCHEMA_COLUMNS / SCHEMA_EXPECTED_DTYPES,,,,,,Column comparison: schema_column_comparison.csv; Drift summary: schema_drift_report.csv,,,,,,,,,,,,,,,,,,info,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.1.8,Structural drift detection & expected schema comparison,,OK,,,,2025-12-10 15:19:41.723282,,,,,,
,,Feature roles & groups catalog,,,,,,Roles: feature_roles.csv; Groups YAML: feature_groups_2_1_9.yaml,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.1.9,Column role classification & feature group registration,,OK,,,,2025-12-10 23:19:41.824604+00:00,,,,,,
,,Column-level missingness baseline,,,,,,Missingness baseline: missingness_baseline.csv,,,,,,,,,,,,,,,,,,info,,0.1562,TotalCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0071,,,,2.1.10,Missingness baseline (pre-coercion),,OK,,,,2025-12-10 15:19:41.995428,,,,,,
,,Binary vs continuous numeric classification,,,,,,Audit written to binary_continuous_audit.csv,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.11,Binary vs continuous feature audit,,OK,,,,2025-12-10 15:19:42.056827,,,,,,
,,Per-column cardinality overview,,,,,,Cardinality summary written to feature_cardinality_summary.csv,,,,,,,,,,,,,,,,,,info,7043.0,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.12,Feature cardinality summary,,OK,,,,2025-12-10 15:19:42.312473,,,,,,
,,Merged schema consistency snapshot,,,,,,Schema consistency report written to schema_consistency_report.csv,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.13,Structural summary report (Section 2.1),,OK,,,,2025-12-10 15:19:42.540063,,,,,,
,,Column type detection summary & type map artifact,,,,,,Type map → column_type_map.json; summary → type_detection_summary.csv,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,5.0,,,12.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2.1,Auto-detect data types,,OK,,,,2025-12-10 23:19:43.024998+00:00,,,,,,
0.0,,Coerce numeric/datetime-like strings with audit log,,,,,,Coercion log → coercion_log.csv; df mutated only when APPLY_COERCION=True & success is high,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2.2,Coercion attempt & logging,,OK,,,,2025-12-10 23:19:43.366168+00:00,,,,,,
,,Detect binary-like columns and flag semantics,,,,,,Binary catalog → binary_field_report.csv; feeds downstream numeric/categorical checks,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,8.0,6.0,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2.3,Binary field detection,,OK,,,,2025-12-10 23:19:43.635791+00:00,,,,,,
,,Map SeniorCitizen 0/1 into human-readable + boolean flags,,,,,,seniorcitizen_flag_summary.csv; type map updated at column_type_map.json,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2.4,SeniorCitizen binary flag retype,,OK,,,,2025-12-10 23:19:43.914597+00:00,,,,,,
,,"Ensure target flag exists, is 0/1, and matches raw label",,,,,,target_field_validation.csv; type map updated at column_type_map.json,,Int8,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Churn,2.2.5,Churn flag validation,,OK,Churn_flag,,,2025-12-10 23:19:43.989963+00:00,,,,,,
,,Persist ID/protected contracts for downstream steps,,,,,,protected_columns.json; id_protected_registry.csv; type map updated at column_type_map.json,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2.6,ID & protected columns registration,,OK,,,,2025-12-10 23:19:44.073764+00:00,,,,,,
,,Assign each column into numeric/categorical/binary/id/target groups,,,,,,feature_group_registry.csv; type map updated at column_type_map.json,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,7.0,,,,,,,12.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.2.7,Feature group classification,,OK,,,,2025-12-10 23:20:19.594405+00:00,,,,,,
,,Environment & config readiness preflight,,,,,,"Section 2 bootstrap complete: globals, directories, CONFIG roots, and working df are all ready.",,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.1,Environment & config readiness preflight,,OK,,,,2025-12-10 15:20:23.998163,,,,,,
,,Config & constants validation for Section 2,,,,,,All required config roots present and Section 2 constants registered.,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.2,Config & constants validation,,OK,,,,2025-12-10 15:20:24.070311,,,,,,
,,Section 2 run metadata snapshot,,,,1.0,,Metadata saved to section2_run_metadata.json,,,,,,,,,,7060427f1f45c838bf6f438273db9607f2cccfd3,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.3,Logging & metadata setup,,OK,,,,2025-12-10 15:20:24.159801,,,,,,
,,Dataset-level shape & memory snapshot,,,,,,Snapshot of df at Section 2 start; overview written to section2_2_0_4_dataset_overview.csv,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.4,Dataset snapshot & preview,,OK,,,,2025-12-10 15:20:24.305449,,,6.5061,,,
,,"Overall missingness, dtype distribution, top-N missing columns",,,,,,Baseline summary written to section2_2_0_5_baseline_summary.csv; top missing column: TotalCharges (0.1562%).,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0074,,,,2.0.5,Row/Column baseline summary (lightweight),,OK,,,,2025-12-10 15:20:24.384875,TotalCharges,0.1562,,,,
,,Config-driven IDs and protected columns snapshot,,,,,,Protected columns snapshot written to protected_columns_2_0_6.yaml / protected_columns_2_0_6.json,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.6,ID & protected columns snapshot,,OK,,,,2025-12-10 15:20:24.468307,,,,,,
,,Dependency registry build,,,,,,Registered Section 2 nodes and metrics into section2_registry.json and archived a per-run snapshot under history/section2_registry/.,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.7,Dependency registry build,,OK,,,,2025-12-10 15:20:24.653288,,,,,,
,,Sanity preview printout,,,,,,Printed Section 2 execution map and wrote section2_execution_map.md for documentation.,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.8,Sanity preview printout,,OK,,,,2025-12-10 15:20:24.768910,,,,,,
,,Sanity preview printout,,,,,,Printed Section 2 execution map and wrote section2_execution_map.md for documentation.,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0.8,Sanity preview printout,,OK,,,,2025-12-10 15:20:24.849523,,,,,,
,,Create Churn_flag and validate raw target labels,,,,,,"Target 'Churn' normalized to 'Churn_flag' with 0 invalid labels; integrity report: target_integrity_report.csv, summary: churn_flag_summary.csv",,,Churn_flag,,,,,,,,,,,,,0.3612,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,5174.0,,,,,0.0,,,,,,,,,,,,,1869.0,,,,,,,,,,,,,7043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Churn,,2.1.1,Target variable creation & validation,,OK,,,,2025-12-10 15:20:24.970452,,,,,,
,,ID & key field verification,,,,,,ID integrity report written to id_integrity_report.csv; 0 non-unique or invalid ID columns.,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.2,ID & key field verification,,OK,,,,2025-12-10 15:20:25.051947,,,,,,
,,Special-case numeric flags,,,,,,Detected 1 special numeric flag column(s); written to special_numeric_flags.csv.,,,,,,,,,,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.3,Special-case numeric flag registration,,OK,,,,2025-12-10 15:20:25.128812,,,,,,
,,Duplicate audit,,,,,,Duplicate audit written to duplicate_audit_report.csv; 0 full-row duplicates detected.,,,,,,,,,0.0,,,,,,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.4,Duplicate & record-level consistency audit,,OK,,,,2025-12-10 15:20:25.247122,,,,,,
,,Duplicate audit preview,,,,,,Duplicate preview sample written to 2.1.4_duplicate_audit_sample.csv with 0 rows.,,,,,,,,,,,,,,0.0,,,,info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1.4.5.5,Duplicate audit preview & sample export,,OK,,,,2025-12-10 15:20:25.362739,,,,,,
